Date,Unit Number,Price
2026-04-10,0725,1608
2026-04-10,0731,1569
2026-04-10,0821,2003
2026-04-10,0434,2126
2026-04-10,1810,2468
2026-04-10,0624,2529
2026-04-10,1426,2675
2026-04-10,1511,2944
2026-04-11,0725,1620
2026-04-11,0731,1581
2026-04-11,0821,2015
2026-04-11,0434,2128
2026-04-11,1810,2483
2026-04-11,0624,2529
2026-04-11,1426,2666
2026-04-11,1511,2949
2026-04-11,1315,3026
2026-04-12,0725,1624
2026-04-12,0731,1584
2026-04-12,0821,2019
2026-04-12,0434,2128
2026-04-12,1810,2483
2026-04-12,0624,2529
2026-04-12,1426,2665
2026-04-12,1511,2948
2026-04-12,1315,3025
2026-04-13,0725,1628
2026-04-13,0731,1588
2026-04-13,0821,2023
2026-04-13,0434,2127
2026-04-13,1810,2481
2026-04-13,0624,2738
2026-04-13,1426,2665
2026-04-13,1511,2943
2026-04-13,1315,3025
2026-04-14,0725,1638
2026-04-14,0731,1598
2026-04-14,0821,2033
2026-04-14,0434,2111
2026-04-14,1810,2469
2026-04-14,0624,2731
2026-04-14,1426,2654
2026-04-14,1511,2936
2026-04-14,1315,3014
2026-04-15,0725,1637
2026-04-15,0731,1597
2026-04-15,0821,2032
2026-04-15,0434,2116
2026-04-15,1034,2387
2026-04-15,1333,2345
2026-04-15,0624,2726
2026-04-15,1426,2654
2026-04-15,1511,2931
2026-04-15,1315,3014
2026-04-16,0725,1632
2026-04-16,1229,1777
2026-04-16,0731,1592
2026-04-16,0821,2027
2026-04-16,0434,2123
2026-04-16,1333,2351
2026-04-16,0624,2725
2026-04-16,1426,2662
2026-04-16,1511,2930
2026-04-17,0725,1636
2026-04-17,1229,1781
2026-04-17,0731,1596
2026-04-17,0821,2031
2026-04-17,1628,2032
2026-04-17,0434,2123
2026-04-17,1333,2357
2026-04-17,0624,2725
2026-04-17,1426,2661
2026-04-17,1511,2930
2026-04-18,0725,1644
2026-04-18,1229,1790
2026-04-18,0731,1605
2026-04-18,0821,2039
2026-04-18,1628,2051
2026-04-18,0434,2127
2026-04-18,1333,2363
2026-04-18,0624,2723
2026-04-18,1426,2660
2026-04-18,1511,2928
2026-04-19,0725,1645
2026-04-19,1229,1790
2026-04-19,0731,1605
2026-04-19,0821,2040
2026-04-19,1628,2050
2026-04-19,0434,2133
2026-04-19,1333,2369
2026-04-19,0624,2721
2026-04-19,1426,2660
2026-04-19,1511,2926
2026-04-20,0725,1645
2026-04-20,1229,1790
2026-04-20,0731,1605
2026-04-20,0821,2040
2026-04-20,1628,2050
2026-04-20,0434,2142
2026-04-20,1333,2340
2026-04-20,0624,2743
2026-04-20,1426,2659
2026-04-20,1511,2948
2026-04-21,0725,1642
2026-04-21,1229,1783
2026-04-21,0731,1598
2026-04-21,0821,2037
2026-04-21,1628,2048
2026-04-21,0434,2139
2026-04-21,1333,2358
2026-04-21,0624,2723
2026-04-21,1426,2651
2026-04-21,1511,2928
2026-04-22,0725,1643
2026-04-22,1229,1782
2026-04-22,0731,1597
2026-04-22,0821,2038
2026-04-22,1628,2046
2026-04-22,0434,2143
2026-04-22,1333,2364
2026-04-22,0624,2708
2026-04-22,1426,2636
2026-04-22,1511,2913
2026-04-23,0725,1630
2026-04-23,0735,1496
2026-04-23,1229,1776
2026-04-23,0737,1562
2026-04-23,1225,1753
2026-04-23,0731,1591
2026-04-23,0821,2025
2026-04-23,1628,2041
2026-04-23,0434,2144
2026-04-23,1333,2363
2026-04-23,0624,2673
2026-04-23,1426,2674
2026-04-23,1511,2878
2026-04-24,0725,1641
2026-04-24,0735,1503
2026-04-24,1229,1783
2026-04-24,0737,1574
2026-04-24,0731,1598
2026-04-24,0821,2036
2026-04-24,1628,2048
2026-04-24,0434,2142
2026-04-24,1333,2363
2026-04-24,0624,2660
2026-04-24,1426,2661
2026-04-24,1511,2865
2026-04-25,0725,1652
2026-04-25,0735,1511
2026-04-25,1229,1791
2026-04-25,0737,1586
2026-04-25,0731,1606
2026-04-25,0821,2047
2026-04-25,1628,2056
2026-04-25,0434,2133
2026-04-25,1333,2364
2026-04-25,0624,2647
2026-04-25,1426,2647
2026-04-25,0324,2614
2026-04-25,1511,2852
2026-04-26,0725,1653
2026-04-26,0735,1515
2026-04-26,1229,1795
2026-04-26,0737,1590
2026-04-26,0731,1610
2026-04-26,0821,2048
2026-04-26,1628,2060
2026-04-26,0434,2132
2026-04-26,1333,2364
2026-04-26,0624,2636
2026-04-26,1426,2636
2026-04-26,0324,2603
2026-04-26,1511,2841
2026-04-27,0725,1654
2026-04-27,0735,1520
2026-04-27,1229,1800
2026-04-27,0737,1578
2026-04-27,0731,1615
2026-04-27,0821,2049
2026-04-27,1628,2064
2026-04-27,0434,2127
2026-04-27,1333,2363
2026-04-27,0624,2624
2026-04-27,1426,2624
2026-04-27,0324,2595
2026-04-27,1511,2829
2026-04-28,0725,1655
2026-04-28,0735,1521
2026-04-28,1229,1801
2026-04-28,0737,1582
2026-04-28,0731,1616
2026-04-28,0821,2050
2026-04-28,1628,2065
2026-04-28,0434,2113
2026-04-28,1333,2368
2026-04-28,0624,2578
2026-04-28,1426,2578
2026-04-28,0324,2583
2026-04-28,1511,2783
2026-04-29,0725,1658
2026-04-29,0735,1523
2026-04-29,1229,1803
2026-04-29,0737,1584
2026-04-29,0731,1618
2026-04-29,0821,2053
2026-04-29,1628,2068
2026-04-29,0434,2111
2026-04-29,1333,2368
2026-04-29,0624,2567
2026-04-29,1426,2567
2026-04-29,0324,2573
2026-04-29,1511,2772
