Unit Number,Floor Plan,Building,SqFt,Bedrooms,Bathrooms,Floor,Garage,Fireplace,Lake View,Tour Available,Tour URL,Last Available,Price Max,Price Max Date,Price Min,Price Min Date,Unit URL
0115,C2,01,1587,3,2.5,1,2,True,False,False,,2026-06-23,2594,2026-06-22,2566,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361222
0122,A4,01,909,1,1,2,1,True,False,False,,2026-06-23,1757,2026-06-15,1721,2026-06-19,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361223
0211,C2,02,1587,3,2.5,1,2,True,False,True,https://realync.com/share/video/66ed9fc41db434ecfdc259c9?recipientId=68486e5543c3b4d210290e79,2026-06-07,2721,2026-05-01,2616,2026-05-19,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361229
0324,C1,03,1524,3,2,2,1,True,False,False,,2026-06-23,2614,2026-04-25,2361,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361244
0416,B1,04,1132,2,2,1,1,False,False,False,,2026-06-22,2439,2026-06-02,2127,2026-05-25,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361251
0434,B1,04,1132,2,2,3,0,False,False,True,https://realync.com/share/video/698648bbec3966d6304d0fff?recipientId=69864bb5016fd2a3ed92b9e5,2026-06-23,2159,2026-05-09,1810,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361264
0518,B3,05,1299,2,2,1,1,False,False,True,https://realync.com/share/video/6824f471c0e3b1ce61cf3e4e?recipientId=6824f59b2f6efe0bcad62e27,2026-06-23,2317,2026-06-11,2198,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361272
0528,B3,05,1299,2,2,2,1,False,False,True,https://realync.com/share/video/671282a9ccfacaa082f114a1?recipientId=6717096a9e043223a53f0b40,2026-06-23,2307,2026-06-04,2105,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361280
0534,B1,05,1132,2,2,3,0,False,False,False,,2026-06-23,1835,2026-06-18,1818,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361284
0614,C1,06,1524,3,2,1,1,True,False,True,https://realync.com/share/video/68d1bae030e2f09437b342df?recipientId=68d1bf0c1d999f12d52f551f,2026-06-15,2411,2026-06-10,2388,2026-06-14,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361290
0624,C1,06,1524,3,2,2,1,True,False,True,https://realync.com/share/video/62a0e5117ed187001491a484?recipientId=65deab8dfcb9753acda886bf,2026-05-11,2743,2026-04-20,2478,2026-05-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361297
0625,A3,06,822,1,1,2,1,False,False,False,,2026-06-23,1829,2026-06-15,1771,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361298
0629,B2,06,1231,2,2,2,1,True,False,True,https://realync.com/share/video/655530c9a9698c05d6ba3ad6?recipientId=655546482187954515f6fea5,2026-06-23,2400,2026-05-26,2078,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361302
0725,A1,07,759,1,1,2,1,False,False,True,https://realync.com/share/video/65a9919b7877a09c4bff2284?recipientId=65deab8dbaa2f246093b9dbd,2026-05-02,1658,2026-04-29,1608,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361311
0731,A3,07,822,1,1,3,0,False,False,False,,2026-06-23,1659,2026-05-07,1569,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361315
0735,A1,07,759,1,1,3,0,False,False,False,,2026-06-23,1564,2026-05-07,1496,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361319
0737,A3,07,822,1,1,3,0,False,False,True,https://realync.com/share/video/6a2882339004cfeba14eda8f?recipientId=6a288515604ad26d3813208f,2026-06-23,1642,2026-06-07,1557,2026-05-18,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361321
0821,A6,08,938,1,1,2,1,False,False,True,https://realync.com/share/video/6739090eada486c1908f9844?recipientId=67390a34e2b5f95c53da8f70,2026-06-02,2107,2026-05-08,2003,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361325
0827,A2,08,783,1,1,2,1,True,False,False,,2026-06-23,1831,2026-06-16,1791,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361331
0916,C1,09,1524,3,2,1,1,True,False,True,https://realync.com/share/video/69bdbf5a0828a7bed40458d6?recipientId=69bdc0b215e8a0976962ec08,2026-06-23,2588,2026-06-10,2483,2026-06-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361337
0926,C1,09,1524,3,2,2,1,True,False,False,,2026-05-20,2559,2026-04-30,2411,2026-05-19,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361344
1034,B4,10,1434,2,2,3,1,True,False,False,,2026-04-15,2387,2026-04-15,2387,2026-04-15,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361357
1121,A3,11,822,1,1,2,1,False,False,False,,2026-06-14,1793,2026-06-11,1789,2026-06-13,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361363
1123,A1,11,759,1,1,2,1,False,False,False,,2026-06-23,1601,2026-06-23,1601,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361365
1136,B1,11,1132,2,2,3,0,False,True,False,,2026-06-23,2080,2026-05-20,1755,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361376
1216,B1,12,1132,2,2,1,1,False,False,True,https://realync.com/share/video/690001fc381d3d5a15f29284?recipientId=6900021e381d3d5a15f2942b,2026-06-08,2380,2026-05-29,2192,2026-06-08,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361381
1218,B3,12,1299,2,2,1,1,False,False,False,,2026-06-23,2545,2026-05-26,2223,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361382
1221,A6,12,938,1,1,2,1,False,False,True,https://realync.com/share/video/625f32a0b21e840014aa90aa?recipientId=65deab8dfde2d475254f6acb,2026-06-23,2102,2026-06-08,2026,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361384
1225,A3,12,822,1,1,2,1,False,False,False,,2026-04-23,1753,2026-04-23,1753,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361388
1228,B2,12,1231,2,2,2,1,True,False,False,,2026-06-13,2401,2026-05-20,2163,2026-06-13,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361391
1229,A2,12,783,1,1,2,1,True,False,True,https://realync.com/share/video/668dcc328515c529af29275f?recipientId=6696ef20b5d9032fc27ba552,2026-06-23,1845,2026-06-15,1776,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361392
1315,C2,13,1587,3,2.5,1,2,True,False,False,,2026-04-15,3026,2026-04-11,3014,2026-04-14,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361394
1333,B4,13,1434,2,2,3,1,True,False,False,,2026-06-23,2436,2026-05-26,2113,2026-06-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361399
1424,C1,14,1524,3,2,2,1,True,False,False,,2026-06-23,2397,2026-06-22,2361,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361408
1426,C1,14,1524,3,2,2,1,True,False,True,https://realync.com/share/video/6a1ef88f819a6b47d3e3181e?recipientId=6a1ef9619edf68b37821d17e,2026-06-12,2675,2026-04-10,2362,2026-06-11,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361410
1511,C2,15,1587,3,2.5,1,2,True,False,True,https://realync.com/share/video/6a063c9fb42f1181c51e4b58?recipientId=6a063cd46ed97461f28aa133,2026-06-23,2949,2026-04-11,2566,2026-06-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361413
1524,A4,15,909,1,1,2,1,True,False,True,,2026-06-23,1781,2026-05-13,1721,2026-05-18,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361417
1628,A6,16,938,1,1,2,1,False,False,True,https://realync.com/share/video/655bde6059a8456d7a37c9d9?recipientId=656e52e9a9698c05d6f2807f,2026-06-23,2117,2026-06-08,2032,2026-04-17,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361433
1629,B2,16,1231,2,2,2,1,True,False,True,https://realync.com/share/video/69b82f81e22a8ddd4eed8f87?recipientId=69b84a579daa080b305d7c35,2026-06-17,2394,2026-05-30,2114,2026-06-17,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361434
1810,B3,18,1299,2,2,1,1,False,False,False,,2026-06-09,2483,2026-04-11,2316,2026-06-09,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361449
