Date,Unit Number,Price
2026-04-10,0725,1608
2026-04-10,0731,1569
2026-04-10,0821,2003
2026-04-10,0434,2126
2026-04-10,1810,2468
2026-04-10,0624,2529
2026-04-10,1426,2675
2026-04-10,1511,2944
2026-04-11,0725,1620
2026-04-11,0731,1581
2026-04-11,0821,2015
2026-04-11,0434,2128
2026-04-11,1810,2483
2026-04-11,0624,2529
2026-04-11,1426,2666
2026-04-11,1511,2949
2026-04-11,1315,3026
2026-04-12,0725,1624
2026-04-12,0731,1584
2026-04-12,0821,2019
2026-04-12,0434,2128
2026-04-12,1810,2483
2026-04-12,0624,2529
2026-04-12,1426,2665
2026-04-12,1511,2948
2026-04-12,1315,3025
2026-04-13,0725,1628
2026-04-13,0731,1588
2026-04-13,0821,2023
2026-04-13,0434,2127
2026-04-13,1810,2481
2026-04-13,0624,2738
2026-04-13,1426,2665
2026-04-13,1511,2943
2026-04-13,1315,3025
2026-04-14,0725,1638
2026-04-14,0731,1598
2026-04-14,0821,2033
2026-04-14,0434,2111
2026-04-14,1810,2469
2026-04-14,0624,2731
2026-04-14,1426,2654
2026-04-14,1511,2936
2026-04-14,1315,3014
2026-04-15,0725,1637
2026-04-15,0731,1597
2026-04-15,0821,2032
2026-04-15,0434,2116
2026-04-15,1034,2387
2026-04-15,1333,2345
2026-04-15,0624,2726
2026-04-15,1426,2654
2026-04-15,1511,2931
2026-04-15,1315,3014
2026-04-16,0725,1632
2026-04-16,1229,1777
2026-04-16,0731,1592
2026-04-16,0821,2027
2026-04-16,0434,2123
2026-04-16,1333,2351
2026-04-16,0624,2725
2026-04-16,1426,2662
2026-04-16,1511,2930
2026-04-17,0725,1636
2026-04-17,1229,1781
2026-04-17,0731,1596
2026-04-17,0821,2031
2026-04-17,1628,2032
2026-04-17,0434,2123
2026-04-17,1333,2357
2026-04-17,0624,2725
2026-04-17,1426,2661
2026-04-17,1511,2930
2026-04-18,0725,1644
2026-04-18,1229,1790
2026-04-18,0731,1605
2026-04-18,0821,2039
2026-04-18,1628,2051
2026-04-18,0434,2127
2026-04-18,1333,2363
2026-04-18,0624,2723
2026-04-18,1426,2660
2026-04-18,1511,2928
2026-04-19,0725,1645
2026-04-19,1229,1790
2026-04-19,0731,1605
2026-04-19,0821,2040
2026-04-19,1628,2050
2026-04-19,0434,2133
2026-04-19,1333,2369
2026-04-19,0624,2721
2026-04-19,1426,2660
2026-04-19,1511,2926
2026-04-20,0725,1645
2026-04-20,1229,1790
2026-04-20,0731,1605
2026-04-20,0821,2040
2026-04-20,1628,2050
2026-04-20,0434,2142
2026-04-20,1333,2340
2026-04-20,0624,2743
2026-04-20,1426,2659
2026-04-20,1511,2948
2026-04-21,0725,1642
2026-04-21,1229,1783
2026-04-21,0731,1598
2026-04-21,0821,2037
2026-04-21,1628,2048
2026-04-21,0434,2139
2026-04-21,1333,2358
2026-04-21,0624,2723
2026-04-21,1426,2651
2026-04-21,1511,2928
