Unit Number,Floor Plan,Building,SqFt,Bedrooms,Bathrooms,Floor,Garage,Fireplace,Lake View,Tour Available,Tour URL,Last Available,Price Max,Price Max Date,Price Min,Price Min Date,Unit URL
0211,C2,02,1587,3,2.5,1,2,True,False,True,https://realync.com/share/video/66ed9fc41db434ecfdc259c9?recipientId=68486e5543c3b4d210290e79,2026-05-08,2721,2026-05-01,2684,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361229
0324,C1,03,1524,3,2,2,1,True,False,False,,2026-05-08,2614,2026-04-25,2479,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361244
0434,B1,04,1132,2,2,3,0,False,False,True,https://realync.com/share/video/698648bbec3966d6304d0fff?recipientId=69864bb5016fd2a3ed92b9e5,2026-05-08,2150,2026-05-08,2109,2026-04-30,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361264
0624,C1,06,1524,3,2,2,1,True,False,True,https://realync.com/share/video/62a0e5117ed187001491a484?recipientId=65deab8dfcb9753acda886bf,2026-05-08,2743,2026-04-20,2498,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361297
0725,A1,07,759,1,1,2,1,False,False,True,https://realync.com/share/video/65a9919b7877a09c4bff2284?recipientId=65deab8dbaa2f246093b9dbd,2026-05-02,1658,2026-04-29,1608,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361311
0731,A3,07,822,1,1,3,0,False,False,False,,2026-05-08,1659,2026-05-07,1569,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361315
0735,A1,07,759,1,1,3,0,False,False,False,,2026-05-08,1564,2026-05-07,1496,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361319
0737,A3,07,822,1,1,3,0,False,False,False,,2026-05-08,1634,2026-05-08,1562,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361321
0821,A6,08,938,1,1,2,1,False,False,True,https://realync.com/share/video/6739090eada486c1908f9844?recipientId=67390a34e2b5f95c53da8f70,2026-05-08,2107,2026-05-08,2003,2026-04-10,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361325
0926,C1,09,1524,3,2,2,1,True,False,False,,2026-05-08,2559,2026-04-30,2479,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361344
1034,B4,10,1434,2,2,3,1,True,False,False,,2026-04-15,2387,2026-04-15,2387,2026-04-15,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361357
1218,B3,12,1299,2,2,1,1,False,False,False,,2026-05-08,2449,2026-05-07,2447,2026-05-08,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361382
1221,A6,12,938,1,1,2,1,False,False,True,https://realync.com/share/video/625f32a0b21e840014aa90aa?recipientId=65deab8dfde2d475254f6acb,2026-05-08,2094,2026-05-07,2050,2026-05-01,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361384
1225,A3,12,822,1,1,2,1,False,False,False,,2026-04-23,1753,2026-04-23,1753,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361388
1228,B2,12,1231,2,2,2,1,True,False,False,,2026-05-08,2358,2026-05-07,2346,2026-05-08,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361391
1229,A2,12,783,1,1,2,1,True,False,True,https://realync.com/share/video/668dcc328515c529af29275f?recipientId=6696ef20b5d9032fc27ba552,2026-05-08,1844,2026-05-07,1776,2026-04-23,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361392
1315,C2,13,1587,3,2.5,1,2,True,False,False,,2026-04-15,3026,2026-04-11,3014,2026-04-14,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361394
1333,B4,13,1434,2,2,3,1,True,False,False,,2026-05-08,2369,2026-04-19,2340,2026-04-20,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361399
1426,C1,14,1524,3,2,2,1,True,False,False,,2026-05-08,2675,2026-04-10,2498,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361410
1511,C2,15,1587,3,2.5,1,2,True,False,False,,2026-05-08,2949,2026-04-11,2703,2026-05-05,https://www.windsorcommunities.com/properties/legacy-at-windsor/floorplans/?spaces_tab=unit-detail&detail=5361413
